Function,Core Position Cluster,Core Position Cluster Definition,Core Position,Core Position Main Objective,Skill,Skill Definition,Functional / Soft Skill,Required Proficiency Level,Proficiency Value,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. Regional Project Manager),"Accountable for planning, action item tracking, executing, monitoring, and closing projects, managing project timelines, budgets, and quality, supporting program communication and ensuring information flow. Facilitates knowledge transfer during in- or out-licensing activities. ",Matrix leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Proficient,3,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. Regional Project Manager),"Accountable for planning, action item tracking, executing, monitoring, and closing projects, managing project timelines, budgets, and quality, supporting program communication and ensuring information flow. Facilitates knowledge transfer during in- or out-licensing activities. ",Communication,Has effective verbal & written communication. Identifies loose ends & proactively ensures informatio flows cross functionally & across leadership levels while bringing a sense of executive presence to the audience.,Soft Skill,Proficient,3,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"Facilitates strategic planning, timely decision-making, and milestone achievement while integrating expert teams, promoting team norms, and ensures smoth operation of the team and enhancing team effectiveness and performance through emotional and cultural intelligence to drive program success.",Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Advanced,4,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"Facilitates strategic planning, timely decision-making, and milestone achievement while integrating expert teams, promoting team norms, and ensures smoth operation of the team and enhancing team effectiveness and performance through emotional and cultural intelligence to drive program success.",Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Expert,5,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"Facilitates strategic planning, timely decision-making, and milestone achievement while integrating expert teams, promoting team norms, and ensures smoth operation of the team and enhancing team effectiveness and performance through emotional and cultural intelligence to drive program success.",Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Expert,5,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"Facilitates strategic planning, timely decision-making, and milestone achievement while integrating expert teams, promoting team norms, and ensures smoth operation of the team and enhancing team effectiveness and performance through emotional and cultural intelligence to drive program success.",Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Advanced,4,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"Facilitates strategic planning, timely decision-making, and milestone achievement while integrating expert teams, promoting team norms, and ensures smoth operation of the team and enhancing team effectiveness and performance through emotional and cultural intelligence to drive program success.",Matrix leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Advanced,4,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"Facilitates strategic planning, timely decision-making, and milestone achievement while integrating expert teams, promoting team norms, and ensures smoth operation of the team and enhancing team effectiveness and performance through emotional and cultural intelligence to drive program success.",Communication,Has effective verbal & written communication. Identifies loose ends & proactively ensures informatio flows cross functionally & across leadership levels while bringing a sense of executive presence to the audience.,Soft Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Governance,Understanding the rules & regulations of authorities and the ownership to decide in accordance with the requirements for our patients & Merck. Ability to formulate requirements into Quality Documents.,Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Auditing,Understanding audit procedures and relevant guidance and related quality framework for the risk assessment.,Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,"Data, Digital & IT",Being up to date with relevant data & digital requirements and novel techniques.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Project Management,"Proficient Project management skills to manage projects in regard to results, time, budget & risks across all organizational levels. ",Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Compliance,"Living a compliance culture which is allowing enough space for informed decisions by adhering to regulations (EFPIA, PhRMA & other associations). ",Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Sustainability,Understanding Sustainability culture and details. Ability to understand regulation and transfer skills to write a chapter.,Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Organizational knowledge and network,Knowledge of global organizational set up across Merck Divisions and processes (BPO). Network in different Business & Functional Areas.,Functional Skill,Beginner,1,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Communication & Stakeholder Management,Fluent communications skills across all levels and cultures. Follows up intrinsically on open aspects and sets standards for easy understanding,Soft Skill,Proficient,3,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Analytical & Problem Solving,"Ability to analyse problems and assess issues in regard to quality, ethics, risks and laws & regulations for our patients and Merck.",Soft Skill,Proficient,3,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Matrix leadership,Walking the matrix organization and ability to act as the owner independent of the functional belonging.,Soft Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Governance,Understanding the rules & regulations of authorities and the ownership to decide in accordance with the requirements for our patients & Merck. Ability to formulate requirements into Quality Documents.,Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Auditing,Understanding audit procedures and relevant guidance and related quality framework for the risk assessment.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,"Data, Digital & IT",Being up to date with relevant data & digital requirements and novel techniques.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Project Management,"Proficient Project management skills to manage projects in regard to results, time, budget & risks across all organizational levels. ",Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Compliance,"Living a compliance culture which is allowing enough space for informed decisions by adhering to regulations (EFPIA, PhRMA & other associations). ",Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Sustainability,Understanding Sustainability culture and details. Ability to understand regulation and transfer skills to write a chapter.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Organizational knowledge and network,Knowledge of global organizational set up across Merck Divisions and processes (BPO). Network in different Business & Functional Areas.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Communication & Stakeholder Management,Fluent communications skills across all levels and cultures. Follows up intrinsically on open aspects and sets standards for easy understanding,Soft Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Analytical & Problem Solving,"Ability to analyse problems and assess issues in regard to quality, ethics, risks and laws & regulations for our patients and Merck.",Soft Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Matrix leadership,Walking the matrix organization and ability to act as the owner independent of the functional belonging.,Soft Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Governance,Understanding the rules & regulations of authorities and the ownership to decide in accordance with the requirements for our patients & Merck. Ability to formulate requirements into Quality Documents.,Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Auditing,Understanding audit procedures and relevant guidance and related quality framework for the risk assessment.,Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,"Data, Digital & IT",Being up to date with relevant data & digital requirements and novel techniques.,Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Project Management,"Proficient Project management skills to manage projects in regard to results, time, budget & risks across all organizational levels. ",Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Compliance,"Living a compliance culture which is allowing enough space for informed decisions by adhering to regulations (EFPIA, PhRMA & other associations). ",Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Sustainability,Understanding Sustainability culture and details. Ability to understand regulation and transfer skills to write a chapter.,Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Organizational knowledge and network,Knowledge of global organizational set up across Merck Divisions and processes (BPO). Network in different Business & Functional Areas.,Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Communication & Stakeholder Management,Fluent communications skills across all levels and cultures. Follows up intrinsically on open aspects and sets standards for easy understanding,Soft Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Analytical & Problem Solving,"Ability to analyse problems and assess issues in regard to quality, ethics, risks and laws & regulations for our patients and Merck.",Soft Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Head,,Matrix leadership,Walking the matrix organization and ability to act as the owner independent of the functional belonging.,Soft Skill,Expert,5,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",Drug Development Experience,"Experience in developing strategy and execution of clinical trials for new drugs or therapies in human subjects from early to late stage. Includes evaluate the safety, efficacy, and overall effectiveness of a medication prior to approved for public use.",Functional Skill,Advanced,4,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",Desease knowledge,"Understanding of Desease mechanism and therapeutic area (in the fields of e.g. Oncology, N&I, CM&E,  Fertility etc.) ",Functional Skill,Proficient,3,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",Clinical Assessment,"Ability to do independent clinical analysis and assessments for Business development cases, new molecules, new products, data and to derive maningful conclusions regarding the viability and strategic direction of new products within the pharmaceutical industry.",Functional Skill,Proficient,3,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",Matrix Leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Advanced,4,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Soft Skill,Proficient,3,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",External relationship management,"Establishing, maintaining and utilizing professional relationships with external networks, including Key Thought Leaders (KTLs) and regulatory authorities for collaboration.


",Soft Skill,Advanced,4,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",Scientific Data Communication Proficiency,"Ability to effectively convey complex scientific and clinical data to various stakeholders, while also analyzing and interpreting that data to inform decision-making and strategy within clinical development processes.


",Soft Skill,Advanced,4,,
